country,year,num,iso_alpha
Mexico,01-4-2019,6,MEX
Mexico,01-5-2019,1,MEX
Mexico,01-6-2019,6,MEX
Mexico,01-7-2019,0,MEX
Mexico,01-8-2019,2,MEX
Mexico,01-9-2019,2,MEX
Mexico,01-10-2019,2,MEX
Mexico,01-11-2019,1,MEX
Mexico,01-12-2019,4,MEX
Mongolia,01-1-2019,0,MNG
Mongolia,01-2-2019,0,MNG
Mongolia,01-3-2019,0,MNG
Mongolia,01-4-2019,1,MNG
Mongolia,01-5-2019,0,MNG
Mongolia,01-6-2019,0,MNG
Mongolia,01-7-2019,0,MNG
Mongolia,01-8-2019,0,MNG
Mongolia,01-9-2019,0,MNG
Mongolia,01-10-2019,0,MNG
Mongolia,01-11-2019,0,MNG
Mongolia,01-12-2019,0,MNG
Malawi,01-1-2019,0,MWI
Malawi,01-2-2019,0,MWI
Malawi,01-3-2019,0,MWI
Malawi,01-4-2019,0,MWI
Malawi,01-5-2019,0,MWI
Malawi,01-6-2019,0,MWI
Malawi,01-7-2019,1,MWI
Malawi,01-8-2019,0,MWI
Malawi,01-9-2019,0,MWI
Malawi,01-10-2019,0,MWI
Malawi,01-11-2019,0,MWI
Malawi,01-12-2019,0,MWI
Malaysia,01-1-2019,1,MYS
Malaysia,01-2-2019,1,MYS
Malaysia,01-3-2019,2,MYS
Malaysia,01-4-2019,1,MYS
Malaysia,01-5-2019,1,MYS
Malaysia,01-6-2019,0,MYS
Malaysia,01-7-2019,0,MYS
Malaysia,01-8-2019,2,MYS
Malaysia,01-9-2019,2,MYS
Malaysia,01-10-2019,0,MYS
Malaysia,01-11-2019,1,MYS
Malaysia,01-12-2019,2,MYS
Nigeria,01-1-2019,0,NGA
Nigeria,01-2-2019,0,NGA
Nigeria,01-3-2019,0,NGA
Nigeria,01-4-2019,0,NGA
Nigeria,01-5-2019,0,NGA
Nigeria,01-6-2019,1,NGA
Nigeria,01-7-2019,0,NGA
Nigeria,01-8-2019,0,NGA
Nigeria,01-9-2019,0,NGA
Nigeria,01-10-2019,0,NGA
Nigeria,01-11-2019,0,NGA
Nigeria,01-12-2019,0,NGA
Netherlands,01-1-2019,11,NLD
Netherlands,01-2-2019,8,NLD
Netherlands,01-3-2019,8,NLD
Netherlands,01-4-2019,9,NLD
Netherlands,01-5-2019,12,NLD
Netherlands,01-6-2019,8,NLD
Netherlands,01-7-2019,8,NLD
